"sep=,"
Bosch Connected Devices and Solutions
"CISS Raw Data Log File in csv Format, Generated by: CISS Python Scripts v03.01.00"
Explanation: In this log file the measurement values (raw-data) from the sensors are reported.
Accelerometer Measurement Range: ±16g
Accelerometer Sampling Rate: disabled
Accelerometer Unit: mg
Magnetometer Measurement Range: ±1300µT (x and y-Axis); ±2500µT (z-Axis)
Magnetometer Sampling Rate: disabled
Magnetometer Unit: Micro Tesla (µT)
Gyroscope Measurement Range: ±2000°/s
Gyroscope Sampling Rate: disabled
Gyroscope Unit: Degree/Second (°/s)
Light Measurement Range: 0 - 2112800 lux
Light Sampling Rate: disabled
Light Unit: lux
Temperature Measurement Range: -20ºC – +80°C
Temperature Sampling Rate: 1.0Hz (1000.0ms)
Temperature Units: Degree Celcius (°C)
Humidity Measurement Range: 20 - 90% rH (non-condensing)
Humidity Sampling Rate: 1.0Hz (1000.0ms)
Humidity Units: % Relative Humidity (rH)
Pressure Measurement Range: 300 - 1100 hPa
Pressure Sampling Rate: 1.0Hz (1000.0ms)
Pressure Units: hPa
"Noise/Acustic Measurement Range: 0 - 4096 (not available via USB, available only via BLE)"
Noise/Acustic Sampling Rate: disabled
Noise/Acustic Units: no unit (0-100% with 0-4096 range)
 
Unix TimeStamp (ms),Measurement Type,Data / x_axis,y_axis,z_axis
1626922522936,Humidity,43.0
1626922522959,Pressure,996.95
1626922523901,Temperature,22.3
1626922523929,Humidity,43.0
1626922523936,Pressure,996.98
1626922524901,Temperature,22.4
1626922524924,Humidity,43.01
1626922524932,Pressure,996.95
1626922525901,Temperature,22.3
1626922525937,Humidity,43.01
1626922525953,Pressure,996.95
1626922526901,Temperature,22.3
1626922526930,Humidity,43.01
1626922526949,Pressure,997.01
1626922527900,Temperature,22.3
1626922527924,Humidity,43.0
1626922527931,Pressure,996.96
1626922528900,Temperature,22.3
1626922528939,Humidity,43.01
1626922528957,Pressure,996.95
1626922529900,Temperature,22.3
1626922529930,Humidity,43.0
1626922529939,Pressure,997.01
1626922530900,Temperature,22.4
1626922530924,Humidity,42.99
1626922530931,Pressure,996.95
1626922531900,Temperature,22.4
1626922531929,Humidity,43.02
1626922531941,Pressure,996.98
1626922532900,Temperature,22.3
1626922532934,Humidity,43.0
1626922532941,Pressure,996.95
1626922533900,Temperature,22.4
1626922533924,Humidity,42.99
1626922533932,Pressure,996.94
1626922534900,Temperature,22.4
1626922534938,Humidity,43.01
1626922534960,Pressure,996.97
1626922535900,Temperature,22.4
1626922535942,Humidity,42.99
1626922535950,Pressure,996.99
1626922536900,Temperature,22.4
1626922536929,Humidity,43.02
1626922536939,Pressure,996.94
1626922537899,Temperature,22.3
1626922537938,Humidity,43.01
1626922537946,Pressure,996.95
1626922538899,Temperature,22.4
